,Project Name,Package Name,Type Name,MethodName,LOC,CC,PC,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,RemoveAllTreeNodesAction,3,1,0,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,actionPerformed,3,1,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,NewSearchAction,3,1,0,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,actionPerformed,10,2,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,ExpandChildTreeNodesAction,3,1,0,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,actionPerformed,5,1,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,CopyToClipboardAction,3,1,0,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,actionPerformed,9,1,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,processNode,11,3,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,CollapseChildTreeNodesAction,3,1,0,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,actionPerformed,9,2,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,RedoSearchAction,4,1,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,actionPerformed,6,1,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,actionPerformed,28,4,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,expandAllNodes,9,1,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,processNode,4,1,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,GoToNodeAction,4,1,2,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,actionPerformed,3,1,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,ResultCellRenderer,5,2,0,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,newInstance,3,1,0,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,configureTreeCellRendererComponent,22,4,7,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,processNode,8,2,1,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,exportToClipboard,11,2,3,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,visit,0,1,2,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,visit,3,1,2,,,,,
,.,org.gjt.sp.jedit.search,HyperSearchResults,visit,3,1,2,,,,,
