Project Name,Package Name,Type Name,LCOM,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,FANIN,FANOUT
.,org.gjt.sp.jedit.indent,NoIncrease,-1,0,0,2,2,13,2,0,1,0,1
.,org.gjt.sp.jedit.indent,CloseBracketIndentRule,0.333333333,7,0,9,9,72,18,0,2,0,3
.,org.gjt.sp.jedit.indent,AlignBracket,0.285714286,6,0,7,7,39,9,0,1,1,2
.,org.gjt.sp.jedit.indent,OpenBracketIndentRule,0.5,1,0,4,2,37,9,0,2,1,4
.,org.gjt.sp.jedit,ActionContext,-1,0,0,2,2,26,2,1,1,14,0
.,org.gjt.sp.jedit,EBMessage,0,1,0,5,3,46,5,15,0,12,1
.,org.gjt.sp.jedit,JEditRegisterSaver,0.428571429,4,0,7,6,92,18,0,1,0,9
.,org.gjt.sp.jedit,RegistersHandler,0.5,3,0,4,4,23,7,0,0,1,2
.,org.gjt.sp.jedit,JEditActionSet,0.157894737,5,0,19,13,236,38,2,1,5,5
.,org.gjt.sp.jedit,jEdit,0.082352941,37,0,170,123,2882,538,0,0,331,72
.,org.gjt.sp.jedit,FirewallAuthenticator,0,1,0,2,0,9,2,0,0,0,0
.,org.gjt.sp.jedit,MyFocusManager,-1,0,0,2,1,26,8,0,0,0,1
.,org.gjt.sp.jedit,JEditPropertyManager,-1,0,0,1,1,5,1,0,1,1,1
.,org.gjt.sp.jedit,DockingLayoutSetter,0,3,0,2,1,15,2,0,0,0,3
.,org.gjt.sp.jedit,EBComponent,-1,0,0,1,0,15,1,6,0,8,1
.,org.gjt.sp.jedit,SettingsXML,0.25,4,0,12,10,88,12,0,0,4,3
.,org.gjt.sp.jedit,Saver,0.4,2,0,5,3,37,5,0,0,4,1
.,org.gjt.sp.jedit,JEditBeanShellAction,0.4,9,0,10,7,97,14,0,1,2,5
.,org.gjt.sp.jedit,MyBeanShellFacade,-1,0,0,3,0,15,4,0,1,0,3
.,org.gjt.sp.jedit,OperatingSystem,0.133333333,9,0,15,15,203,28,0,0,27,2
.,org.gjt.sp.jedit,ActionSet,0.6,2,0,15,13,131,21,0,2,9,5
.,org.gjt.sp.jedit,SettingsReloader,-1,0,0,2,1,29,11,0,0,0,9
.,org.gjt.sp.jedit,ServiceManager,0,8,1,17,13,200,29,0,0,18,9
.,org.gjt.sp.jedit,Descriptor,0,6,0,5,2,39,9,0,0,5,3
.,org.gjt.sp.jedit,ServiceFoldHandlerProvider,0,1,1,2,2,31,2,0,1,0,3
.,org.gjt.sp.jedit,PluginJAR,0.229508197,44,19,61,39,1241,234,0,0,31,21
.,org.gjt.sp.jedit,PluginDepends,-1,5,0,0,0,7,0,0,0,1,0
.,org.gjt.sp.jedit,PluginCacheEntry,0,20,19,13,2,184,38,0,0,9,5
.,org.gjt.sp.jedit,JARClassLoader,0.142857143,9,0,21,11,286,63,0,0,2,5
