Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
RotateModule,graphic,3,1,0,,,,,,,,,
RotateModule,destinationDirectoryField,3,1,0,,,,,,,,,
RotateModule,destinationPane,3,1,2,,,,,,,,,
RotateModule,footer,3,1,2,,,,,,,,,
RotateModule,openButton,3,1,0,,,,,,,,,
RotateModule,prefixPane,3,1,1,,,,,,,,,
ModuleConfig,destinationDirectoryField,3,1,0,,,,,,,,,
ModuleConfig,destinationPane,3,1,2,,,,,,,,,
ModuleConfig,footer,3,1,2,,,,,,,,,
ModuleConfig,openButton,3,1,0,,,,,,,,,
ModuleConfig,prefixPane,3,1,1,,,,,,,,,
RotateOptionsPane,RotateOptionsPane,15,1,0,,,,,,,,,
RotateOptionsPane,resetView,4,1,0,,,,,,,,,
RotateOptionsPane,apply,4,1,2,,,,,,,,,
RotateOptionsPane,saveStateTo,4,1,1,,,,,,,,,
RotateOptionsPane,restoreStateFrom,4,1,1,,,,,,,,,
RotateParametersBuilder,addInput,8,2,2,,,,,,,,,
RotateParametersBuilder,hasInput,3,1,0,,,,,,,,,
RotateParametersBuilder,output,3,1,1,,,,,,,,,
RotateParametersBuilder,prefix,3,1,1,,,,,,,,,
RotateParametersBuilder,getOutput,3,1,0,,,,,,,,,
RotateParametersBuilder,getPrefix,3,1,0,,,,,,,,,
RotateParametersBuilder,rotation,3,1,1,,,,,,,,,
RotateParametersBuilder,rotationType,3,1,1,,,,,,,,,
RotateParametersBuilder,build,10,1,0,,,,,,,,,
RotateSelectionPane,RotateSelectionPane,3,1,1,,,,,,,,,
RotateSelectionPane,apply,12,2,2,,,,,,,,,
RotateOptionsPaneTest,start,6,1,1,,,,,,,,,
RotateOptionsPaneTest,validSteps,8,1,0,,,,,,,,,
RotateOptionsPaneTest,onSaveWorkspace,6,1,0,,,,,,,,,
RotateOptionsPaneTest,restoreStateFrom,10,1,0,,,,,,,,,
RotateOptionsPaneTest,reset,13,1,0,,,,,,,,,
RotateParametersBuilderTest,setUp,8,1,0,,,,,,,,,
RotateParametersBuilderTest,buildDefaultSelection,20,1,0,,,,,,,,,
RotateParametersBuilderTest,buildRanges,14,1,0,,,,,,,,,
RotateParametersBuilderTest,buildMultiple,11,1,0,,,,,,,,,
RotateSelectionPaneTest,setUp,5,1,0,,,,,,,,,
RotateSelectionPaneTest,empty,5,1,0,,,,,,,,,
RotateSelectionPaneTest,emptyPageSelection,9,1,0,,,,,,,,,
RotateSelectionPaneTest,notEmptyPageSelection,10,1,0,,,,,,,,,
RotateSelectionPaneTest,converstionException,7,1,0,,,,,,,,,
RotateSelectionPaneTest,emptyByZeroPagesSelected,7,1,0,,,,,,,,,
RotateSelectionPaneTest,populate,6,1,0,,,,,,,,,
